Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
"Consommation d'espaces naturels, agricoles et forestiers",57c1b234-be1c-46bb-9b9a-a24432b72ded,Ecosystèmes,Aménagement,"Atténuation, Adaptation, Ressources, Biodiversité",5,Barres empilées,Usages habitats,"L'artificialisation des espaces naturels fait disparaître les services écosystémiques apportés par ces espaces. L'indicateur représente la surface d'espace naturels, agricoles et forestiers ""consommée"", c'est-à-dire artificialisée; la projection représente le niveau moyen d'artificialisation nette attendue sur la période, dont la répartition annuelle reste à affiner.
",Kilohectares par an ,Hexagone et DROM,"Cerema, fichiers fonciers 2011-2023",,https://www.data.gouv.fr/fr/datasets/consommation-despaces-naturels-agricoles-et-forestiers-du-1er-janvier-2009-au-1er-janvier-2023,https://www.cerema.fr/fr/actualites/cerema-publie-donnees-2009-2023-consommation-fonciere,Lien seulement,,"13,7961477",mesuré,"13,8350889",mesuré,"12,1752419",mesuré,"13,4527623",mesuré,"13,6153931",mesuré,"13,3180601",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 3:39pm,,Existant,true,false,false,,Faustine : Retirer dernière phrase du descriptif,
"Consommation d'espaces naturels, agricoles et forestiers",0a895f75-7902-46ca-ae39-64d2b21cb016,Ecosystèmes,Aménagement,"Atténuation, Adaptation, Ressources, Biodiversité",5,Barres empilées,Usages activités,,,,,,https://www.data.gouv.fr/fr/datasets/consommation-despaces-naturels-agricoles-et-forestiers-du-1er-janvier-2009-au-1er-janvier-2023,https://www.cerema.fr/fr/actualites/cerema-publie-donnees-2009-2023-consommation-fonciere,Lien seulement,,"5,1595873",mesuré,"5,5251116",mesuré,"5,0778166",mesuré,"4,6972786",mesuré,"4,9812552",mesuré,"4,9620323",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : Retirer dernière phrase du descriptif,
"Consommation d'espaces naturels, agricoles et forestiers",468e9a8d-7a8f-4149-a020-30e2ed64f3a2,Ecosystèmes,Aménagement,"Atténuation, Adaptation, Ressources, Biodiversité",5,Barres empilées,"Autres usages (ferroviaire, route, mixte…)",,,,,,https://www.data.gouv.fr/fr/datasets/consommation-despaces-naturels-agricoles-et-forestiers-du-1er-janvier-2009-au-1er-janvier-2023,https://www.cerema.fr/fr/actualites/cerema-publie-donnees-2009-2023-consommation-fonciere,Lien seulement,,"3,105702",mesuré,"2,655062",mesuré,"2,2382666",mesuré,"2,4385418",mesuré,"2,4146774",mesuré,"1,9958397",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : Retirer dernière phrase du descriptif,
"Consommation d'espaces naturels, agricoles et forestiers",ace47f35-bfa5-4f62-9d98-266050de7ba0,Ecosystèmes,Aménagement,"Atténuation, Adaptation, Ressources, Biodiversité",0,Barres empilées,Total,,,,,,https://www.data.gouv.fr/fr/datasets/consommation-despaces-naturels-agricoles-et-forestiers-du-1er-janvier-2009-au-1er-janvier-2023,https://www.cerema.fr/fr/actualites/cerema-publie-donnees-2009-2023-consommation-fonciere,Lien seulement,,"22,06144",mesuré,"22,01526",mesuré,"19,49133",mesuré,"20,58858",mesuré,"21,01133",mesuré,"20,27593",mesuré,"12,3",cible,"12,3",cible,"12,3",cible,"12,3",cible,"12,3",cible,"12,3",cible,"12,3",cible,"12,3",cible,Budget annuel moyen selon la Loi climat et Résilience,2024-08-01 3:50pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Emissions de carbone causées par le défrichement,e0b8abe6-94fc-47fa-a21c-ed26977225a0,Ecosystèmes,Aménagement,Atténuation,6,Barres simple,,"Le défrichement constitue une altération des puits de carbone par le changement d'utilisation des sols. L'indicateur représente le solde des absorptions et émissions de GES du secteur des terres imputables au défrichement. 

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,Citepa,,https://www.citepa.org/wp-content/uploads/publications/ccnucc/LULUCF_Background_ed2024_d.zip,,Lien seulement,,"-15,6",mesuré,"-12,3",mesuré,"-12,1",mesuré,-12,mesuré,"-12,2",mesuré,"-11,4",mesuré,"-10,7",mesuré,"-9,9",,"-9,2",,"-8,8",,"-8,4",,-8,,"-7,6",,"-7,2",cible,Trajectoire SNBC run 2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
Surfaces en prairies permanentes,7c35be67-bd8a-49ae-b4ab-6977590ef649,Ecosystèmes,Prairies,"Atténuation, Ressources, Biodiversité",7,Barres simple,,"Les prairies constituent des réservoirs de biodiversité et des puits de carbone précieux, et la protection des prairies permanentes, notamment pour l'élevage, présente de multiples bénéfices. L’indicateur représente les surfaces de prairies permanentes.

",Millions d'hectares,Hexagone et outre-mer,Citepa,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"7,9191716525",mesuré,"8,3883351525",mesuré,"8,2313720825",mesuré,"8,1972312125",mesuré,"8,1433240925",mesuré,"8,0617150025",mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Evolution du puits forestier,ab3caeb7-7bdf-47ab-97c8-6ccf7852c524,Ecosystèmes,Forêts,Atténuation,8,Barres simple,,"L'absorption de carbone par la croissance des forêts constitue un ""puits carbone"", élément de compensation des émissions de GES essentiel pour pouvoir atteindre la neutralité carbone. L'indicateur représente le flux de carbone stocké, chaque année, par les forêts.

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,Citepa,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"-37,8433198879",mesuré,"-36,2377734827",mesuré,"-36,4695759765",mesuré,"-38,5572661515",mesuré,"-34,4262787252",mesuré,"-34,6033402645",mesuré,"-36,7581564017",mesuré,"-33,7498483443",projection,"-30,7415402869",projection,"-27,7332322295",projection,"-24,7249241721",projection,"-21,7166161148",projection,"-18,7083080574",projection,"-15,7",cible,SNBC Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Evolution de la surface forestière,50b7d5f4-ff31-44dd-ae30-1d296826f3c2,Ecosystèmes,Forêts,"Atténuation, Ressources",9,Barres empilées,Mixte ou majoritairement résineux,"La surface forestière en France croît depuis des années, ce qui permet, toutes choses égales par ailleurs, d'accroître le potentiel de puits de carbone. L'indicateur représente cette surface forestière, dont la surface en peuplement majoritairement feuillu (>75%).

",Millions d'hectares,Hexagone,IGN Mémento,,https://inventaire-forestier.ign.fr/IMG/pdf/memento_2023.pdf,https://inventaire-forestier.ign.fr/spip.php?rubrique219=,Lien seulement,,"6,984",mesuré,"6,914",mesuré,"6,974",mesuré,"7,085",mesuré,"7,076",mesuré,"7,082",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Evolution de la surface forestière,9eaa1ffe-81ce-4cc0-ad89-c7b473853f85,Ecosystèmes,Forêts,"Atténuation, Ressources",9,Barres empilées,Feuillus,,,,IGN Mémento,,https://inventaire-forestier.ign.fr/IMG/pdf/memento_2023.pdf,https://inventaire-forestier.ign.fr/spip.php?rubrique219=,Lien seulement,,"9,9",mesuré,"9,9",mesuré,"9,9",mesuré,"9,9",mesuré,10,mesuré,"10,2",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Evolution du volume de bois sur pied,1474ffbc-e18c-4ce4-a1fa-8d45d0b8a482,Ecosystèmes,Forêts,"Atténuation, Ressources",10,Barres empilées,Résineux,"Les arbres stockent du carbone, notamment dans le bois sur pied (partie aériennes des arbres vivants), qui s'ajoute naturellement au carbone stocké dans les racines ou dans le bois mort. L'indicateur mesure l'évolution du volume de bois sur pied.
",Milliards de mètres-cubes,Hexagone,IGN Mémento,,https://inventaire-forestier.ign.fr/IMG/pdf/memento_2023.pdf,https://inventaire-forestier.ign.fr/spip.php?rubrique219=,Lien seulement,,"0,988",mesuré,"1,003",mesuré,"0,984",projection,"0,97",projection,"0,955",projection,"0,96",projection,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2019 doit apparaître en projection,
Evolution du volume de bois sur pied,e7230c3c-3064-4a5a-b3cc-23cfce3eb745,Ecosystèmes,Forêts,"Atténuation, Ressources",10,Barres empilées,Feuillus,,,,IGN Mémento,,https://inventaire-forestier.ign.fr/IMG/pdf/memento_2023.pdf,https://inventaire-forestier.ign.fr/spip.php?rubrique219=,Lien seulement,,"1,728",mesuré,"1,758",mesuré,"1,77",projection,"1,8",projection,"1,825",projection,"1,85",projection,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : 2021= 1,83 ; 2019 doit apparaître en projection",
Arbres plantés avec financements publics et financements Label bas carbone,a7b06e35-95be-4bc1-ba8e-6525cd9c2c13,Ecosystèmes,Forêts,"Atténuation, Adaptation",11,Barres simple,,"L'engagement de planter, sur dix ans, 1 milliard d'arbres contribuera à adapter notre forêt au changement climatique tout en renforçant sa capacité d'absorption de carbone. L'indicateur représente le nombre d'arbres plantés dans ce cadre (en millions, cumulés), financés directement par les aides publiques, ou bien par des crédits du mécanisme Label Bas Carbone.
",Millions de mètres-cubes,Hexagone et outre-mer,"Source PPG, données MASA",,https://pilote.modernisation.gouv.fr/chantier/CH-017,,Lien seulement,,,,,,,,,,,,58,mesuré,61,mesuré,183,cible,316,cible,500,cible,"583,3333333333",projection,"666,6666666667",projection,750,projection,"833,3333333333",cible,1M d'arbres plantés en 2032,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Surfaces forestières renouvelées par les financements publics et adaptées au changement climatique,f390eca3-285d-4b9f-b59f-0ab3d7752590,Ecosystèmes,Forêts,"Atténuation, Adaptation",12,Barres simple,,"Le renouvellement forestier est essentiel pour adapter notre forêt au changement climatique tout en renforçant sa capacité d'absorption de carbone. L'indicateur représente la surface forestière renouvelée (en cumul depuis 2021) en s'appuyant sur des financements publics.
",Milliers d'hectares,Hexagone et outre-mer,"Source PPG, données MASA",,https://pilote.modernisation.gouv.fr/chantier/CH-017,,Lien seulement,,,,,,,,,,20,mesuré,"26,1",mesuré,79,mesuré,134,cible,232,cible,372,cible,"593,3333333333",projection,"814,6666666667",projection,1036,projection,"1257,3333333333",cible,10% de la surface métropole en 2032,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Volume de bois récolté,774c2323-3c1e-4eb4-8312-1d695594d28b,Ecosystèmes,Forêts,"Atténuation, Ressources",13,Barres simple,,"Les prélèvements de bois dans les forêts exploitables permettent d'alimenter l'industrie du bois (pour la construction, l'ameublement, l'énergie, etc.) sans avoir recours à des importations, et sont encadrés . L'indicateur représente le volume total de bois récolté dans l'année, hors pertes d'exploitation.",Milliers de mètres cubes,Hexagone,IGN,,,https://foret.ign.fr/IGD/fr/indicateurs/,Lien seulement,,"51,7",mesuré,"54,8",mesuré,"54,5",mesuré,"52,3",mesuré,"55,4",mesuré,57,cible,"58,5",cible,60,cible,"61,5",cible,"61,8",cible,"62,1",cible,"62,4",cible,"62,7",cible,63,cible,Run2 SNBC,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
 Taux d'échec des plantations,4f126278-0ed8-4cfb-acae-9c1730cf31d7,Ecosystèmes,Forêts,"Atténuation, Adaptation",14,Barres simple,,"Si différents facteurs peuvent contribuer à la mortalité des plants lors de leur première année de vie en forêt, l'évolution de cette mortalité est un signe de l'état sanitaire des forêts et de leur adaptation aux conditions notamment climatiques qui sont les leurs. L'indicateur représente la part des plants observés n'ayant pas survécu à leur première année.
",Pourcents,Hexagone,Observatoire des forêts françaises (de DSF),,,https://foret.ign.fr/themes/la-sante-des-forets-se-degrade,Lien seulement,,12,mesuré,15,mesuré,17,mesuré,17,mesuré,7,mesuré,22,mesuré,15,mesuré,,,,,,,,,,,,,,,non,2024-08-02 3:19pm,,Existant,true,true,false,,,
Volume de nouveaux arbres morts par ha et par an,dac6899d-a610-43d5-acf0-7a8f665c294e,Ecosystèmes,Forêts,"Atténuation, Adaptation",15,Barres simple,,"L'accroissement de la mortalité forestière, pour des causes diverses (bioagresseurs, sécheresse...) et souvent complexes, est un motif d'inquiétude. L'indicateur représente l'évolution annuelle du volume d'arbres morts sur pied depuis moins de 5 ans, excluant donc les arbres morts coupés dans le cadre de coupes sanitaires par ailleurs). ",Mètres cubes  par hectare,Hexagone,Observatoire des forêts françaises (de IGN),,,https://foret.ign.fr/themes/la-sante-des-forets-se-degrade,Lien seulement,,"0,6",mesuré,"0,63",mesuré,"0,7",mesuré,"0,85",mesuré,"0,98",mesuré,"1,02",mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Déficit foliaire feuillus/résineux,1de0f229-9ec8-4606-ac24-0cb3e3985c8b,Ecosystèmes,Forêts,"Atténuation, Adaptation",16,Barres empilées,Feuillus,"Le déficit foliaire est un indicateur de la santé des forêts, qui correspond à la part de la surface foliaire absente (en été) par rapport à un arbre de référence, et inclut donc les mortalités de branches, les manques de ramification, les consommations, les trouées, les diminutions de taille d’organes. L'indicateur représente l'évolution du déficit foliaire dépassé par le quart le plus dégradé des arbres observés (3e quartile), en distinguant feuillus et résineux.
",Pourcents,Hexagone,Observatoire des forêts françaises (de DSF),,,https://foret.ign.fr/themes/la-sante-des-forets-se-degrade,Lien seulement,,40,mesuré,45,mesuré,45,mesuré,50,mesuré,50,mesuré,50,mesuré,60,mesuré,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Déficit foliaire feuillus/résineux,e0b33901-e568-4533-aa83-1025e84abde1,Ecosystèmes,Forêts,"Atténuation, Adaptation",16,Barres empilées,Résineux,,Pourcents,Hexagone,Observatoire des forêts françaises (de DSF),,,https://foret.ign.fr/themes/la-sante-des-forets-se-degrade,Lien seulement,,35,mesuré,35,mesuré,35,mesuré,35,mesuré,40,mesuré,40,mesuré,40,mesuré,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Emplois de la filière bois,54598f98-c4a8-45eb-b7bb-70d7cb8d9fcf,Ecosystèmes,Forêts,"Atténuation, Économie",17,Barres simple,,"La filière forêt-bois est appelée à jouer un grand rôle dans la transition écologique, et son renforcement est souhaitable afin de permettre de gérer les forêts durablement et développer le rôle du bois notamment comme matériel de construction, sans devoir faire appel à des importations croissantes. L'indicateur représente l'ensemble des emplois de la filière depuis l'amont jusqu'à l'aval.

",Nombre,Hexagone et outre-mer, Veille économie mutualisée de la FBF (VEM),,https://vem-fb.fr/images/2024/Synthese_VEM-2023_CODIFAB_FBF.pdf,https://vem-fb.fr/index.php,Lien seulement,,379141,mesuré,393702,mesuré,394967,mesuré,393892,mesuré,415000,mesuré,417133,mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Surface brûlée,5e7b4e0c-032d-4fc5-9785-14c688218a2c,Ecosystèmes,Forêts,"Atténuation, Ressources, Santé, Biodiversité",18,Barres simple,,"Outre leurs conséquences humaines, économiques et sociales, les feux de forêt dégradent fortement le stockage de carbone, la biodiversité forestière, et la qualité de l'air; et leur propagation est favorisée par la sécheresse et le réchauffement climatique. L'indicateur représente la surface incendiée dans l'année.
",Hectares,Hexagone,BDIFF,,,https://bdiff.agriculture.gouv.fr/incendies,Lien seulement,,23176,mesuré,4036,mesuré,15190,mesuré,11221,mesuré,12850,mesuré,59014,mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Surface de forêt couverte par des documents de gestion durable approuvés ,04ac89c5-4b3e-4da2-8293-eadca6d612b3,Ecosystèmes,Forêts,"Adaptation, Atténuation, Biodiversité",19,Barres simple,,"Les documents de gestion durable constituent le cadre défini par la loi permettant de garantir la gestion durable des forêts, sous réserve de la mise en oeuvre effective du programme de coupes et travaux qui y est inscrit. L'indicateur recense les surfaces forestières dotées d'un document de gestion (qu'il soit obligatoire ou volontaire) approuvé par le Centre national de la propriété forestière (forêts privées) ou l'ONF (forêts publiques).",Millions d'hectares,Hexagone,IGN (IGD 3.5),,,https://foret.ign.fr/IGD/fr/indicateurs/,Lien seulement,,,,"7,64",mesuré,"7,71",mesuré,"7,76",mesuré,"7,81",mesuré,"7,85",mesuré,"7,9575",mesuré,"8,065",projection,"8,1725",projection,"8,28",projection,"8,3875",projection,"8,495",projection,"8,6025",projection,"8,71",cible,1 Mha en +?,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part de marché de la construction bois dans le neuf,77eff1c4-9f5e-4848-bf6c-3c05e03ffc72,Ecosystèmes,Produit bois,Atténuation,20,Courbes indépendantes,Logement ,"L'usage de bois dans la construction permet de réduire le besoin de matériaux dont la production est très émettrice de GES, et de stocker au contraire sur une longue durée du carbone. L'indicateur représente la part de marché pour la construction neuve en bois des logements (en nombre d'opérations) et des bâtiments du tertiaire (en surfaces réalisées).
",Pourcents,Hexagone,FIBOIS,,https://franceboisforet.fr/wp-content/uploads/2023/10/ENQUETE_CONSTRUCTIONBOIS_ACTIVITE2022_V2.pdf,https://franceboisforet.fr/2023/07/19/enquete-construction-bois-2022/,Fichier et lien,,,,"6,3",mesuré,,,"6,5",mesuré,,,"6,2",mesuré,,,,,,,,,,,,,,,,,,2024-08-09 11:46am,,Existant,true,true,false,,,
Part de marché de la construction bois dans le neuf,5d15e4f4-aab1-4ae8-8a63-34be8bd8e5f6,Ecosystèmes,Produit bois,Atténuation,20,Courbes indépendantes,Tertiaire,,Pourcents,Hexagone,FIBOIS,,https://franceboisforet.fr/wp-content/uploads/2023/10/ENQUETE_CONSTRUCTIONBOIS_ACTIVITE2022_V2.pdf,https://franceboisforet.fr/2023/07/19/enquete-construction-bois-2022/,Fichier et lien,,,,"10,5",mesuré,,,"10,9",mesuré,,,"13,1",mesuré,,,,,,,,,,,,,,,,,,2024-08-09 11:46am,,Existant,true,true,false,,,
Importation de bois / produits bois,02d004c2-376f-4a3c-be22-57c592e95b70,Ecosystèmes,Produit bois,"Atténuation, Économie",21,Barres simple,,"Le bois est appelé à jouer un grand rôle dans la transition écologique, comme matériaux ou comme alternative aux combustibles fossiles, à condition qu'il soit géré de manière durable et de préférence produit localement. L'indicateur représente les volumes de bois et de produits bois importés annuellement. 
",Kilotonnes,Hexagone et outre-mer,MASA (AGRESTE),,https://agreste.agriculture.gouv.fr/agreste-saiku/?plugin=true&query=query/open/COMEXTBOIS#query/open/COMEXTBOIS,https://agreste.agriculture.gouv.fr/agreste-web/disaron/COMEXTBOIS/detail/,Fichier et lien,,17772,mesuré,18253,mesuré,18555,mesuré,17834,mesuré,18883,mesuré,18024,mesuré,16336,mesuré,,,,,,,,,,,,,,,,2024-08-09 11:54am,,Existant,true,true,false,,,
Taux de recyclage papiers et cartons,438913d6-7aec-44de-9bfb-36915ae44ea2,Ecosystèmes,Produit bois,"Atténuation, Ressources",22,Barres simple,,"Le recyclage en général, et celui des papiers et cartons en particulier, est un processus vertueux il permet d'éviter le prélèvement de ressources naturelles additionnelles et la production de déchets inutiles. L'indicateur représente le taux d'incorporation de papiers et cartons recyclés dans la production de papiers et cartons neufs.
",Pourcents,Hexagone,Copacel,,https://www.copacel.fr/wp-content/uploads/2023/07/Rapport-Statistique-2022.pdf,https://www.copacel.fr/rapports-statistiques-annuels/,Lien seulement,,"67,11719013",mesuré,"68,6020192772",mesuré,"71,3",mesuré,"71,9",mesuré,"71,3",mesuré,"70,2",mesuré,"70,8",projection,"71,4",projection,72,projection,"72,6",projection,"73,2",projection,"73,8",projection,"74,4",projection,75,cible,SNBC Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Volume de bois issu de biomasse primaire destiné à la production d'énergie,8c5f4f24-c4e0-4f42-8fd6-bddf942ccfef,Ecosystèmes,Produit bois,"Atténuation, Ressources",24,Barres simple,,"La production d'énergie est un des trois usages du bois récoltés, avec le bois d'œuvre et le bois d'industrie; dans un cadre de gestion durable, il peut représenter une source d'énergie alternative aux combustibles fossiles. L'indicateur représente le volume de bois issu de la biomasse primaire (c'est à dire issu directement de la forêt, et excluant les coproduits de scierie et des déchets bois en fin de vie) destiné à la production d'énergie. L'unité est le million de mètres-cubes.
Source: IGN. Périmètre: hexagone et outre-mer
#atténuation",Millions de mètres-cubes,Hexagone,IGN (IGD 6.9),,https://foret.ign.fr/api/upload/IGD_6.9_Donnees_Bois_Energie.xlsx,https://foret.ign.fr/IGD/fr/indicateurs/6.9,Lien seulement,,"26,1016940412",mesuré,,,"24,5569502132",mesuré,,,"28,7002900305",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-09 11:54am,,Existant,true,true,false,,,
Haies plantées avec une aide de l’Etat,c198320a-090c-4cda-9b60-8737397e72b6,Ecosystèmes,Haies,"Atténuation, Adaptation, Ressources, Biodiversité",26,Barres simple,,"La présence de haies sur les surfaces agricoles entraîne de grands bénéfices en termes de biodiversité, de cycle de l'eau, d'absorption de carbone et de richesse des sols en général, ou encore d'adaptation au changement climatique, et l'Etat apporte un soutien financier pour renverser la tendance à la disparition des haies depuis plusieurs décennies. L'indicateur représente la longueur des haies plantées depuis 2023 avec l'aide financière de l'Etat en kilomètres linéaires.
",Kilomètres ,Hexagone,"source PPG, données MASA",,https://pilote.modernisation.gouv.fr/chantier/CH-015,,Lien seulement,,,,,,,,,,,,,,0,mesuré,7100,cible,14200,cible,21300,cible,28400,cible,35600,cible,42800,cible,50000,cible,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Surface totale acquise par le conservatoire du littoral,20d84404-7f42-4d26-b04d-ff16837ff99c,Ecosystèmes,Mer et littoral,"Ressources, Biodiversité",28,Barres simple,,"Le Conservatoire du littoral acquiert des parcelles menacées par l’urbanisation ou dégradées pour en faire des sites respectueux des équilibres naturels et accueillants des activités et le public. L'indicateur représente les surfaces acquises annuellement.
",Milliers d'hectares par an,Hexagone et outre-mer,"INPN, Patrinat, 2023",,https://www.conservatoire-du-littoral.fr/include/viewFilePublications.php?idtf=269&FICHIER=PUB_PDF,https://www.conservatoire-du-littoral.fr/publications_liste/269/ip/2/op/PUB_DATE+desc/cp/3b772b451c2864fbe5eb/mp/9/10-publication.htm,Lien seulement,,"199,696",mesuré,"204,454",mesuré,"206,456",mesuré,"209,089",mesuré,"212,848",mesuré,"211,862",mesuré,"218,27",mesuré,,,,,,,228,cible,,,,,235,cible,,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2027 doit apparaître en projection,
Mangroves faisant l'objet de mesures de conservation,4a5cd2ee-96cb-4594-9013-4d8e5cc5b1f5,Ecosystèmes,Mer et littoral,Biodiversité,30,Barres simple,,"Les mangroves sont un habitat particulièrement vulnérable et précieux en matière de diversité écologique et de services écosystèmiques. L'indicateur représente la part de la surface nationale de mangroves gérées à des fins de conservation c'est-à-dire celles dotées d'un statut de protection opérationnel (gestionnaire officiel, moyens opérationnel, document de gestion). La superficie des mangroves de Polynésie française n'est pas comptabilisée du fait du caractère envahissant d'espèces introduites.
",Pourcents,Outre-mer,"Pôle-Relais des Zones Humides Tropicales (PRZHT), UICN, projet CARNAM.",,https://naturefrance.fr/indicateurs/surfaces-nationales-de-mangroves-faisant-lobjet-de-mesures-de-conservation,https://naturefrance.fr/indicateurs,Lien seulement,,,,25,mesuré,,,,,,,57,mesuré,58,projection,59,projection,60,projection,61,projection,62,projection,63,projection,64,projection,65,cible,objectif SNB,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Etat des stocks de ressources halieutiques,d60610d4-c30e-4880-981f-8c28534ef30e,Ecosystèmes,Mer et littoral,Biodiversité,31,Barres simple,,"La préservation de la biodiversité marine comme de la capacité de pêche impose de gérer les stocks de poissons de manière durable, en ne pêchant pas plus de représentants d'une espèce que la limite permettant la reconstitution de la population. L'indicateur représente la proportion des stocks halieutiques (poissons, crustacés et coquillages) débarqués jugés en bon état ou reconstituables, par rapport aux stocks évalués et classés.",Pourcents,Hexagone,IFREMER (PPG),,https://archimer.ifremer.fr/doc/00877/98852/,https://www.ifremer.fr/fr/presse/bilan-2023-en-france-hexagonale-56-des-volumes-de-poissons-debarques-en-2022-proviennent-de,Lien seulement,,50,mesuré,46,mesuré,57,mesuré,57,mesuré,62,mesuré,63,mesuré,70,cible,73,cible,76,cible,80,cible,,,,,,,,,objectif théorique UE 100%,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Nombre d'échouages de cétacés,a88edcee-f1be-4e96-9b8e-564820dd49fc,Ecosystèmes,Mer et littoral,Biodiversité,32,Barres simple,,"L'accroissement de la mortalité des dauphins et cétacés dans les eaux françaises, révélée par l'importance des échouages sur les côtes, pose un risque pour la protection de la biodiversité marine. L'indicateur représente le nombre de cétacés échoués signalés dans l'année sur le littoral métropolitain.
",Nombre,Hexagone,Réseau Pelagis (PPG),,,http://pelagis.in2p3.fr/public/histo-carto/index.php,Lien seulement,,1693,mesuré,1456,mesuré,1940,mesuré,2076,mesuré,1565,mesuré,1246,mesuré,2160,mesuré,,,,,,,,,,,,,,,pas d'objectif chiffré dans la SNB,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : Espace en trop dans le titre (après d'),
Territoires concernés par des restrictions d'eau estivales,5a3fe6af-67c5-4221-a67e-59eb028c9ab3,Eau,Ressources disponibles,"Adaptation, Ressources",1,Barres empilées,Au-delà du niveau vigilance,"Il existe différents types de sécheresse (météorologique - manque de pluie ; agricole - manque d'eau dans les sols ; hydrologique - cours d'eau ou nappes anormalement bas), provoqués par un déficit de précipitations et/ou un usage trop important des ressources aquatiques locales; dans un contexte de changement climatique, la fréquence et l'intensité des sécheresses devraient croître. L’indicateur représente le maximum atteint dans l’année pour la part du territoire métropolitain (en % surfacique) concerné par des mesures de restriction pour les eaux superficielles.

",%,Hexagone,SDES,,https://www.notre-environnement.gouv.fr/IMG/xlsx/2023_gestion_de_l_eau_secheresse_graphique2.xlsx,https://www.notre-environnement.gouv.fr/themes/economie/l-utilisation-des-ressources-naturelles-ressources/article/gestion-de-l-eau-en-periode-de-secheresse-en-france-metropolitaine-6326,Fichier et lien,,"60,3799915818",mesuré,"41,8593705636",mesuré,"66,5439704909",mesuré,"55,4594762815",mesuré,"21,4874545455",mesuré,"85,5774545455",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
